id_timestamp,id_index,sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_enabled,scanning_cycle_index,label_tag,error_code
2026_02_19_08_29,67,1,1724192798,14885,1771489804,28.278296,996.385986,40.437481,26761.447266,8,1,1,0,0
2026_02_19_08_29,68,2,1724204062,14889,1771489804,28.358261,996.34137,40.223949,30776.628906,8,1,1,0,0
2026_02_19_08_29,69,4,1724209694,14898,1771489804,28.562063,996.181213,38.67989,36209.335938,8,1,1,0,0
2026_02_19_08_29,70,5,1724219422,14902,1771489804,28.502544,996.006409,38.924644,25093.119141,8,1,1,0,0
2026_02_19_08_29,71,7,1724199965,14911,1771489804,28.441498,996.412231,39.31295,28705.988281,8,1,1,0,0
2026_02_19_08_29,72,6,1724206621,15326,1771489805,28.801373,996.567139,38.546619,38357.804688,9,1,1,0,0
2026_02_19_08_29,73,3,1724221471,15453,1771489805,28.621658,996.170349,38.847229,42737.898438,9,1,1,0,0
2026_02_19_08_29,74,0,1724206365,15580,1771489805,27.97728,996.155945,40.93528,47583.644531,9,1,1,0,0
2026_02_19_08_29,75,1,1724192798,15585,1771489805,28.484447,996.401855,39.875443,32761.708984,9,1,1,0,0
2026_02_19_08_29,76,2,1724204062,15589,1771489805,28.572622,996.366455,39.48901,38565.832031,9,1,1,0,0
2026_02_19_08_29,77,4,1724209694,15598,1771489805,28.779215,996.137451,38.228458,46059.734375,9,1,1,0,0
2026_02_19_08_29,78,5,1724219422,15602,1771489805,28.708796,995.992188,38.671429,31250.0,9,1,1,0,0
2026_02_19_08_29,79,7,1724199965,15611,1771489805,28.658161,996.425659,38.98278,35844.300781,9,1,1,0,0
2026_02_19_08_29,80,6,1724206621,16026,1771489805,28.945618,996.536987,38.114235,44336.683594,0,1,2,0,0
2026_02_19_08_29,81,1,1724192798,16144,1771489805,28.62851,996.372925,39.331753,37780.402344,0,1,2,0,0
2026_02_19_08_29,82,3,1724221471,16153,1771489805,28.778919,996.174377,38.418682,48093.179688,0,1,2,0,0
2026_02_19_08_29,83,4,1724209694,16158,1771489805,28.936462,996.156311,37.812542,55184.308594,0,1,2,0,0
2026_02_19_08_29,84,0,1724206365,16280,1771489805,28.109446,996.173523,40.593822,55220.015625,0,1,2,0,0
2026_02_19_08_29,85,2,1724204062,16289,1771489806,28.724667,996.362854,39.112843,44521.738281,0,1,2,0,0
2026_02_19_08_29,86,5,1724219422,16302,1771489806,28.865347,996.004578,38.220249,36613.273438,0,1,2,0,0
2026_02_19_08_29,87,6,1724206621,16306,1771489806,28.553375,996.568542,37.79055,1687332.625,1,1,2,0,0
2026_02_19_08_29,88,7,1724199965,16311,1771489806,28.804285,996.406006,38.263344,41898.527344,0,1,2,0,0
2026_02_19_08_29,89,1,1724192798,16424,1771489806,28.171494,996.417847,39.076572,1595636.875,1,1,2,0,0
2026_02_19_08_29,90,3,1724221471,16433,1771489806,28.374537,996.232788,38.024918,1842140.75,1,1,2,0,0
2026_02_19_08_29,91,4,1724209694,16438,1771489806,28.514639,996.209839,37.52317,2317397.5,1,1,2,0,0
2026_02_19_08_29,92,0,1724206365,16560,1771489806,27.697989,996.216919,40.301174,2325291.0,1,1,2,0,0
2026_02_19_08_29,93,2,1724204062,16569,1771489806,28.305918,996.398438,38.856983,1964037.375,1,1,2,0,0
2026_02_19_08_29,94,5,1724219422,16582,1771489806,28.480183,996.064148,37.893475,1367612.75,1,1,2,0,0
2026_02_19_08_29,95,7,1724199965,16591,1771489806,28.418823,996.440125,38.5205,1683172.375,1,1,2,0,0
2026_02_19_08_29,96,6,1724206621,17706,1771489807,27.713221,996.522949,36.995026,1140311.75,2,1,2,0,0
2026_02_19_08_29,97,0,1724206365,17820,1771489807,26.929937,996.13623,40.10857,1718120.75,2,1,2,0,0
2026_02_19_08_29,98,1,1724192798,17825,1771489807,27.346882,996.391479,38.455795,1085896.125,2,1,2,0,0
2026_02_19_08_29,99,3,1724221471,17833,1771489807,27.543314,996.206177,37.28619,1113346.0,2,1,2,0,0
2026_02_19_08_29,100,4,1724209694,17838,1771489807,27.683477,996.181519,36.705536,1645640.875,2,1,2,0,0
2026_02_19_08_29,101,2,1724204062,17969,1771489807,27.441006,996.370667,38.333294,1235223.125,2,1,2,0,0
2026_02_19_08_29,102,5,1724219422,17982,1771489807,27.657673,995.978943,37.319149,920449.4375,2,1,2,0,0
2026_02_19_08_29,103,7,1724199965,17991,1771489807,27.632792,996.436218,37.895283,1225246.75,2,1,2,0,0
2026_02_19_08_29,104,6,1724206621,21766,1771489811,27.735996,996.525574,36.345493,484046.3125,3,1,2,0,0
2026_02_19_08_29,105,3,1724221471,21893,1771489811,27.483408,996.170471,37.222,459914.65625,3,1,2,0,0
2026_02_19_08_29,106,0,1724206365,22020,1771489811,26.989786,996.154968,40.421623,1090231.625,3,1,2,0,0
2026_02_19_08_29,107,1,1724192798,22025,1771489811,27.324528,996.389343,38.400906,637212.1875,3,1,2,0,0
2026_02_19_08_29,108,2,1724204062,22029,1771489811,27.421066,996.368469,38.447529,624390.25,3,1,2,0,0
2026_02_19_08_29,109,4,1724209694,22038,1771489811,27.656025,996.175537,36.240494,926068.25,3,1,2,0,0
2026_02_19_08_29,110,5,1724219422,22042,1771489811,27.645248,995.97168,36.999321,467473.1875,3,1,2,0,0
2026_02_19_08_29,111,7,1724199965,22051,1771489811,27.685696,996.404602,37.236942,670376.4375,3,1,2,0,0
2026_02_19_08_29,112,6,1724206621,22466,1771489812,28.401539,996.528442,36.454033,45812.457031,4,1,2,0,0
2026_02_19_08_29,113,3,1724221471,22593,1771489812,28.142391,996.176147,37.33099,49145.710938,4,1,2,0,0
2026_02_19_08_29,114,0,1724206365,22720,1771489812,27.660583,996.159424,40.471619,108336.859375,4,1,2,0,0
2026_02_19_08_29,115,1,1724192798,22725,1771489812,28.022467,996.382874,38.434174,62226.542969,4,1,2,0,0
2026_02_19_08_29,116,2,1724204062,22729,1771489812,28.121469,996.369324,38.662037,56990.203125,4,1,2,0,0
2026_02_19_08_29,117,4,1724209694,22738,1771489812,28.324945,996.15332,36.29689,99960.953125,4,1,2,0,0
2026_02_19_08_29,118,5,1724219422,22742,1771489812,28.31369,996.017456,37.143726,51087.605469,4,1,2,0,0
2026_02_19_08_29,119,7,1724199965,22751,1771489812,28.340723,996.417725,37.310905,72789.3125,4,1,2,0,0
2026_02_19_08_29,120,6,1724206621,23166,1771489812,28.682434,996.542236,36.412952,40429.5625,5,1,2,0,0
