,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,label_enc
290,1,4,7,320,150,24.33,1019.44,45.94,28803,cinnamon,2
291,6,4,9,320,150,23.33,1098.83,56.04,27067,cinnamon,2
292,3,4,8,320,150,23.2,1023.75,58.07,25108,cinnamon,2
293,7,5,0,320,150,24.2,1053.67,50.88,31928,cinnamon,2
294,2,4,9,320,150,23.7,1096.27,56.6,14659,cinnamon,2
295,4,4,9,320,150,22.55,1093.24,55.2,13977,cinnamon,2
296,8,4,6,200,150,23.67,1000.63,43.56,92020,cinnamon,2
297,5,4,6,200,150,22.87,1101.39,54.7,111962,cinnamon,2
298,1,4,8,320,150,24.37,1019.44,45.86,32169,cinnamon,2
299,6,5,0,320,150,23.36,1098.84,55.99,28959,cinnamon,2
300,3,4,9,320,150,23.24,1023.74,57.99,27646,cinnamon,2
301,7,5,1,100,150,24.24,1053.67,50.89,1317465,cinnamon,2
302,2,5,0,320,150,23.73,1096.27,56.49,16356,cinnamon,2
303,4,5,0,320,150,22.58,1093.24,55.2,15500,cinnamon,2
304,8,4,7,320,150,23.69,1000.61,43.51,21873,cinnamon,2
305,5,4,7,320,150,22.89,1101.39,54.67,25331,cinnamon,2
306,6,5,1,100,150,23.4,1098.85,55.81,1108825,cinnamon,2
307,1,4,9,320,150,24.4,1019.44,45.79,34934,cinnamon,2
308,3,5,0,320,150,23.27,1023.73,57.95,29914,cinnamon,2
309,7,5,2,100,150,24.23,1053.67,50.81,1126203,cinnamon,2
310,4,5,1,100,150,22.62,1093.24,55.12,178833,cinnamon,2
311,8,4,8,320,150,23.73,1000.62,43.36,24845,cinnamon,2
312,6,5,2,100,150,23.39,1098.84,55.99,942042,cinnamon,2
313,1,5,0,320,150,24.43,1019.45,45.76,37155,cinnamon,2
314,5,4,8,320,150,22.93,1101.4,54.69,29157,cinnamon,2
315,3,5,1,100,150,23.3,1023.72,57.94,811571,cinnamon,2
316,7,5,3,100,150,24.21,1053.66,50.68,1045165,cinnamon,2
317,2,5,2,100,150,23.75,1096.28,56.4,202052,cinnamon,2
318,4,5,2,100,150,22.61,1093.24,55.1,161565,cinnamon,2
319,6,5,3,100,150,23.37,1098.85,55.83,870009,cinnamon,2
