id_timestamp,id_index,sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_enabled,scanning_cycle_index,label_tag,error_code
2026_02_18_21_53,15985,5,1724219422,6358477,1771457945,38.41301,992.809265,15.775565,316244.59375,6,1,5,0,0
2026_02_18_21_53,15986,7,1724199965,6358622,1771457946,37.393181,993.245605,16.140446,10519422.0,3,1,5,0,0
2026_02_18_21_53,15987,5,1724219422,6359177,1771457946,38.852894,992.817505,15.737825,127426.578125,7,1,5,0,0
2026_02_18_21_53,15988,7,1724199965,6359322,1771457946,38.048275,993.232727,16.227621,590371.875,4,1,5,0,0
2026_02_18_21_53,15989,5,1724219422,6359877,1771457947,39.049229,992.802429,15.687187,154402.890625,8,1,5,0,0
2026_02_18_21_53,15990,7,1724199965,6360022,1771457947,38.27,993.267395,16.224014,510087.1875,5,1,5,0,0
2026_02_18_21_53,15991,5,1724219422,6360588,1771457948,39.148636,992.795837,15.600936,165803.109375,9,1,5,0,0
2026_02_18_21_53,15992,7,1724199965,6360732,1771457948,38.36071,993.236511,16.18211,456531.4375,6,1,5,0,0
2026_02_18_21_53,15993,7,1724199965,6361432,1771457948,38.81424,993.238647,16.180616,145083.59375,7,1,5,0,0
2026_02_18_21_53,15994,7,1724199965,6362132,1771457949,39.013294,993.231995,16.118492,173383.0,8,1,5,0,0
2026_02_18_21_53,15995,7,1724199965,6362843,1771457950,39.114079,993.23407,16.051046,184040.265625,9,1,5,0,0
2026_02_18_21_53,15996,6,1724206621,6439150,1771458026,34.680164,993.267029,21.619793,53422.371094,0,1,1,0,0
2026_02_18_21_53,15997,6,1724206621,6439430,1771458026,34.776329,993.334045,21.546705,2686782.5,1,1,1,0,0
2026_02_18_21_53,15998,6,1724206621,6440830,1771458028,34.786453,993.349487,20.948746,2282530.0,2,1,1,0,0
2026_02_18_21_53,15999,3,1724221471,6441648,1771458029,33.883774,992.845886,22.28899,52794.390625,0,1,1,0,0
2026_02_18_21_53,16000,3,1724221471,6441928,1771458029,33.976139,992.920593,22.184324,2617252.5,1,1,1,0,0
2026_02_18_21_53,16001,3,1724221471,6443328,1771458030,33.996109,992.898438,21.552473,2180463.25,2,1,1,0,0
2026_02_18_21_53,16002,6,1724206621,6445030,1771458032,35.026878,993.331909,19.628225,1903788.0,3,1,1,0,0
2026_02_18_21_53,16003,6,1724206621,6445730,1771458033,35.730438,993.304016,19.541601,159006.21875,4,1,1,0,0
2026_02_18_21_53,16004,6,1724206621,6446290,1771458033,36.011356,993.349304,19.360199,151658.765625,5,1,1,0,0
2026_02_18_21_53,16005,6,1724206621,6446990,1771458034,36.137897,993.328491,19.174467,148880.484375,6,1,1,0,0
2026_02_18_21_53,16006,3,1724221471,6447528,1771458035,34.285683,992.924133,20.068827,1775081.25,3,1,1,0,0
