,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,id,humidity_diff,gas_resistance_diff,pca_0,pca_1
9093,3,21,6,200,150,30.2,1035.1,-0.016388630332425887,0.10940844976554508,air,2_3_21,-4.789019987579947,0.2505882611990309,-0.2628311824174775,-0.22451995064951671
9285,3,23,6,200,150,30.27,1035.1,-0.018149796577104447,0.12078558951016523,air,2_3_23,-0.9999052721321139,0.18131638557139182,-0.37482990405257727,-0.294025084069095
9385,3,24,6,200,150,30.31,1035.11,-0.019030379699443725,0.12166779639599533,air,2_3_24,-0.052626593269650794,0.27961647574775583,-0.44730912852690197,-1.1561236477179437
9485,3,25,6,200,150,30.34,1035.12,-0.020351254382952724,0.12612044435749628,air,2_3_25,-0.9999052721321139,0.47067490605027273,-0.4325455372024381,-0.5258086199687534
9584,3,26,6,200,150,30.37,1035.11,-0.02145198328587678,0.1305980604384075,air,2_3_26,5.631045479901762,0.4329382271369303,-0.47503820919365314,-0.6011741571665686
7428,3,4,6,200,150,29.16,1035.11,0.0291815462486328,-0.2423174483671489,air,2_3_4,-0.9999052721321139,-0.4761726739572282,-0.34127156487682153,1.6721184768302404
7525,3,5,6,200,150,29.27,1035.13,0.023898047514596968,-0.15869089375563217,air,2_3_5,-2.894462629856367,-0.3885602445919856,-0.43619816671239664,-0.20991728939750554
7623,3,6,6,200,150,29.37,1035.13,0.01971527768348535,-0.10740637648690544,air,2_3_6,-2.894462629856367,-0.2608361005775958,-0.5510359051978722,-0.6736295599670634
7725,3,7,6,200,150,29.46,1035.1,0.016633236755297796,-0.06694970033577259,air,2_3_7,8.472881516487806,-0.30846876172345816,-0.4589244744404124,-0.5239030404666648
144,3,1,6,200,150,28.28,1035.12,0.05774158430400065,-0.6725189916483711,air,0_3_1,-0.06666874080525478,-1.201325644353602,-0.47829507171844626,0.030775865287471775
1015,3,10,6,200,150,29.36,1035.15,0.002279479913988571,0.053880234385573156,air,0_3_10,2.733418373015887,0.09207029486957828,-0.5019560772119376,0.26950217935316373
1113,3,11,6,200,150,29.42,1035.15,-0.0008017481076787754,0.06524774353772224,air,0_3_11,0.24445204961926742,0.07927604282723415,-0.6539328302275945,-0.34914272060637275
1213,3,12,6,200,150,29.48,1035.15,-0.004763326992679627,0.07811039896133387,air,0_3_12,2.733418373016108,0.13515898278230049,-0.5670961002399018,0.038963260588449386
1310,3,13,6,200,150,29.54,1035.16,-0.005203502424346302,0.08058398654279765,air,0_3_13,0.8666936304683118,0.25795439031514367,-0.4901377435437904,0.3484383331215195
1405,3,14,6,200,150,29.6,1035.15,-0.007184291866846806,0.08747705060314337,air,0_3_14,0.24445204961926742,0.2945724220225424,-0.6135562040162937,-0.2734725524852974
