,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,id,temperature_diff,pressure_diff,humidity_diff,gas_resistance_diff,pca_0,pca_1
18515,3,14,4,200,150,0.01647327547283686,0.00011600030922213859,0.10024836079818554,-0.7530108797961441,lavender,5_3_14,6.464951652195481e-14,0.0,-5.888529034337514,-0.8063206827587935,0.6381734761809088,1.1435634373555041
18711,3,16,4,200,150,0.019118618979423886,0.0001256670016572985,0.10002257620179326,-0.7636059945376152,lavender,5_3_16,6.464951652195481e-14,9999.999999990905,0.22220864280501712,-0.8168329299796548,0.5839754678238664,1.097692688899403
18808,3,17,4,200,150,0.020441290732717346,0.0001063336167869787,0.10160306837653944,-0.7687444443832229,lavender,5_3_17,6.464951652195481e-14,0.0,2.666503713662377,-0.8216947516150771,0.6154428216077491,1.1545303788627785
18906,3,18,4,200,150,0.021763962486010802,0.0001256670016572985,0.10047414539457795,-0.772327979778717,lavender,5_3_18,6.464951652195481e-14,9999.999999990905,0.8332824105195741,-0.8252342676373399,-0.3582094396158954,-0.4066401533606441
19003,3,19,4,200,150,0.02275596630098095,0.00011600030922213859,0.10115149918375492,-0.7764503111115761,lavender,5_3_19,6.464951652195481e-14,0.0,-3.444233963480154,-0.8283980225298141,0.46168440556090246,1.6843684032460493
17341,3,2,4,200,150,-0.013617506914589926,7.7333539481499e-05,0.11673063633482425,-0.7450518874596328,lavender,5_3_2,-0.6666888896295933,0.0,-5.277455266622957,-0.835588574324847,0.5572513664988051,1.5846452973517557
19204,3,21,4,200,150,0.02507064186924456,0.0001353336940924584,0.10205463756932413,-0.7833570241341734,lavender,5_3_21,6.464951652195481e-14,0.0,2.055429945948254,-0.8319553926993255,0.39890293587777986,2.1823413077465883
19302,3,22,4,200,150,0.02606264568421471,0.0001256670016572985,0.1022804221657164,-0.7860618520613476,lavender,5_3_22,-5.377822036262788e-14,0.0,1.4443561782336969,-0.8365246809990571,0.22462477226133457,2.265571312769824
19396,3,23,4,200,150,0.027054649499184746,0.0001353336940924584,0.10250620676210867,-0.7892729312048378,lavender,5_3_23,6.464951652195481e-14,-10000.000000218279,4.499725016804745,-0.8398268742025061,0.2929890868596808,2.6537254619917925
19499,3,24,4,200,150,0.028046653314154894,0.00014500038652783808,0.10115149918375492,-0.7923936083454144,lavender,5_3_24,6.464951652195481e-14,0.0,-2.833160195765597,-0.8413919962182482,0.4729493028395117,-0.2739097193624537
