,sensor_index,fingerprint_index,position,plate_temperature,heater_duration,temperature,pressure,humidity,gas_resistance,label,id,humidity_diff,gas_resistance_diff,label_enc
19875,3,28,2,100,150,31.26,1034.65,0.07438198129713258,-0.7695469275456945,lavender,5_3_28,-5.849520923634005,-0.25616048981041223,3
20070,3,30,2,100,150,31.31,1034.66,0.07482185108599786,-0.7675415477685259,lavender,5_3_30,-0.7891732657012779,-0.4068572207161932,3
20169,3,31,2,100,150,31.33,1034.68,0.07438198129713258,-0.7760667596748066,lavender,5_3_31,1.9518483823454162,-0.3163412695027089,3
20457,3,34,2,100,150,31.4,1034.69,0.07614146045259398,-0.7802124425329154,lavender,5_3_34,-1.632564542023499,-0.3579034223060084,3
20853,3,38,2,100,150,31.48,1034.71,0.07768100471362276,-0.7824497902174963,lavender,5_3_38,-1.000021084781908,-0.4232512514496521,3
20950,3,39,2,100,150,31.5,1034.72,0.07702120003032469,-0.783331956969301,lavender,5_3_39,0.05421801062079338,-0.43180212219117925,3
17516,3,4,2,100,150,30.14,1034.57,0.07614146045259398,-0.6258414001919024,lavender,5_3_4,-0.1566298084598368,0.025191313819955277,3
21052,3,40,2,100,150,31.52,1034.73,0.07724113492475733,-0.7848590007646536,lavender,5_3_40,-0.156629808459687,-0.41474096627082574,3
21245,3,42,2,100,150,31.55,1034.73,0.07790093960805539,-0.7808883112402066,lavender,5_3_42,0.26506582970127374,-0.48085484791044725,3
21444,3,44,2,100,150,31.59,1034.77,0.07966041876351695,-0.7884787644804516,lavender,5_3_44,-2.897651456506681,-0.42692678147174434,3
17616,3,5,2,100,150,30.24,1034.57,0.07328230682496908,-0.6167840082011403,lavender,5_3_5,0.47591364878175413,0.10467560177182529,3
17713,3,6,2,100,150,30.33,1034.58,0.07284243703610381,-0.6133170114742994,lavender,5_3_6,-0.5783254466209473,0.12576741138790312,3
9724,3,1,2,100,150,28.8,1035.15,0.09415587164971569,-0.867874163390902,grapefruit,3_3_1,0.19149262115086102,-0.9301514986985838,2
10611,3,10,2,100,150,30.15,1035.36,0.0627008023001344,-0.6805629796940337,grapefruit,3_3_10,-0.8298013583210296,-0.38216329729675474,2
10811,3,12,2,100,150,30.31,1035.42,0.06139017441056863,-0.6779311305314071,grapefruit,3_3_12,0.8723552741322828,-0.41785242096957026,2
10906,3,13,2,100,150,30.38,1035.44,0.0600795465210027,-0.6820069666440396,grapefruit,3_3_13,0.021276957905687024,-0.4221495716628708,2
11007,3,14,2,100,150,30.45,1035.48,0.06117173642897421,-0.6842899295949767,grapefruit,3_3_14,-1.5106640113023304,-0.4319592538043168,2
11204,3,16,2,100,150,30.59,1035.55,0.05942423257621973,-0.6859807651349371,grapefruit,3_3_16,-1.0000170215663247,-0.41220127175712484,2
11300,3,17,2,100,150,30.65,1035.61,0.059642670557814005,-0.6848552592467099,grapefruit,3_3_17,1.3830022638682884,-0.44202141830216635,2
11398,3,18,2,100,150,30.71,1035.63,0.05789516670505953,-0.6876530483800367,grapefruit,3_3_18,-0.6595856950756137,-0.43238500836609545,2
11499,3,19,2,100,150,30.77,1035.65,0.05833204266824823,-0.6873757946401712,grapefruit,3_3_19,-0.8298013583210296,-0.44253628428385217,2
11690,3,21,2,100,150,30.88,1035.74,0.057239852760276565,-0.6851371510602906,grapefruit,3_3_21,-1.0000170215663247,-0.45328906228598215,2
11989,3,24,2,100,150,31.04,1035.87,0.05461859698114486,-0.6859807651349371,grapefruit,3_3_24,0.36170828439627695,-0.4654181166622338,2
9920,3,3,2,100,150,29.41,1035.19,0.07318582541666155,-0.6968055138447419,grapefruit,3_3_3,0.02127695790556608,-0.5054068663455695,2
12768,3,32,2,100,150,31.4,1036.19,0.05243421716520169,-0.6820069666440396,grapefruit,3_3_32,-0.8298013583210296,-0.4645542309525783,2
12967,3,34,2,100,150,31.48,1036.29,0.05177890322041872,-0.6767473910509776,grapefruit,3_3_34,-1.0000170215663247,-0.47842095801701945,2
13259,3,37,2,100,150,31.59,1036.43,0.049376085422881286,-0.6755548907646416,grapefruit,3_3_37,0.19149262115098198,-0.4726287157230544,2
13454,3,39,2,100,150,31.66,1036.53,0.04850233349650405,-0.6706957355356604,grapefruit,3_3_39,0.021276957905687024,-0.42130301317375285,2
10114,3,5,2,100,150,29.68,1035.22,0.06838018982158653,-0.6802728424160703,grapefruit,3_3_5,-0.6595856950756137,-0.38902487662960566,2
10214,3,6,2,100,150,29.79,1035.25,0.06685112395042647,-0.679690506494048,grapefruit,3_3_6,-0.14893870533972886,-0.35718239591611567,2
10313,3,7,2,100,150,29.89,1035.28,0.06510362009767184,-0.6776358398382046,grapefruit,3_3_7,-0.31915436858502383,-0.3698634460323477,2
2710,3,1,2,100,150,29.05,1035.22,0.06340268905695108,-0.5550366365978249,eucalyptus,1_3_1,0.28671789825988775,-0.9517475167638562,1
3787,3,12,2,100,150,30.27,1035.35,0.017167790485443396,0.21865381575043794,eucalyptus,1_3_12,0.7692431416729169,-0.09588525633330361,1
4081,3,15,2,100,150,30.41,1035.4,0.016729545001353208,0.16841611710430518,eucalyptus,1_3_15,-0.8391743363704754,-0.15730839817345874,1
4182,3,16,2,100,150,30.46,1035.42,0.010813230966136672,0.14246041393606274,eucalyptus,1_3_16,3.986078097759587,-0.11939218090138505,1
4378,3,18,2,100,150,30.54,1035.46,0.01563393129112797,0.10103887324027326,eucalyptus,1_3_18,-0.8391743363704754,-0.10487891526180322,1
2808,3,2,2,100,150,29.43,1035.23,0.05003620179220242,-0.09951801618550511,eucalyptus,1_3_2,-2.608433562218173,-0.4601634772962697,1
4672,3,21,2,100,150,30.66,1035.54,0.013880949354767526,0.0582830372043612,eucalyptus,1_3_21,-2.2867500666095633,-0.16469499716273664,1
4973,3,24,2,100,150,30.76,1035.64,0.005992530641145218,0.030578114882527454,eucalyptus,1_3_24,3.664394602151092,-0.2088269877581011,1
5071,3,25,2,100,150,30.8,1035.68,0.011251476450226705,0.0042861132388282005,eucalyptus,1_3_25,-1.1608578319790854,-0.1532466728418393,1
5169,3,26,2,100,150,30.83,1035.72,0.010374985482046482,0.0033379383705263795,eucalyptus,1_3_26,-1.9650665710008388,-0.22469642212276456,1
5369,3,28,2,100,150,30.9,1035.77,0.010155862740001466,-0.026081950482398423,eucalyptus,1_3_28,-1.1608578319790854,-0.20424087718611675,1
5564,3,30,2,100,150,30.96,1035.86,0.009060249029776072,-0.041884864954095435,eucalyptus,1_3_30,-1.0000160841747805,-0.26770279267631125,1
5948,3,34,2,100,150,31.07,1036.0,0.007964635319550835,-0.062174094504629386,eucalyptus,1_3_34,-3.251800553435507,-0.3060665456276619,1
6049,3,35,2,100,150,31.1,1036.04,0.00621165338319039,-0.07522979295806932,eucalyptus,1_3_35,-0.35664909295744635,-0.2832264040160789,1
6149,3,36,2,100,150,31.13,1036.1,0.0070881443513706125,-0.05382579623889151,eucalyptus,1_3_36,-3.0909588056312023,-0.30937107675444414,1
6441,3,39,2,100,150,31.21,1036.25,0.005116039672964996,-0.09875433839748862,eucalyptus,1_3_39,-1.1608578319790854,-0.3349099941289395,1
6537,3,40,2,100,150,31.23,1036.3,0.004677794188874963,-0.11007327319642826,eucalyptus,1_3_40,-1.1608578319790854,-0.29855111060950124,1
6729,3,42,2,100,150,31.28,1036.4,0.005773407899100202,-0.11230280753371595,eucalyptus,1_3_42,-4.056009292457146,-0.35721218881290684,1
6828,3,43,2,100,150,31.3,1036.46,0.002924812252514519,-0.1196554443408676,eucalyptus,1_3_43,-0.6783325885661705,-0.1315863980210773,1
3099,3,5,2,100,150,29.81,1035.26,0.028343050329741423,0.2764644578438943,eucalyptus,1_3_5,0.6084013938686119,-0.07019942068025768,1
3197,3,6,2,100,150,29.89,1035.28,0.028123927587696405,0.3086837201175197,eucalyptus,1_3_6,0.9300848894772218,-0.08585186804890807,1
3395,3,8,2,100,150,30.04,1035.32,0.024837086457020534,0.29276637074792417,eucalyptus,1_3_8,-0.8391743363704754,-0.04323426586321808,1
3492,3,9,2,100,150,30.1,1035.31,0.02374147274679514,0.2734058543483624,eucalyptus,1_3_9,-0.6783325885660563,-0.03681506723116507,1
17235,3,1,3,100,150,29.48,1034.55,0.108709750701285,-0.890909599619479,lavender,5_3_1,-9.257586705202074,-0.9485270486283587,3
18214,3,11,3,100,150,30.63,1034.56,0.0744834993696629,-0.7100524307741592,lavender,5_3_11,-0.48384599504552345,-0.48351685781558174,3
18311,3,12,3,100,150,30.67,1034.57,0.07470431389438316,-0.7180805638008919,lavender,5_3_12,0.5483587943848532,-0.5187604501599157,3
18409,3,13,3,100,150,30.72,1034.59,0.07580838651798381,-0.7294790513542941,lavender,5_3_13,1.5805635838148633,-0.5026765886866306,3
18505,3,14,3,100,150,30.77,1034.6,0.07779571724046516,-0.7346891220465137,lavender,5_3_14,8.289894715111394,-0.5239141267691148,3
18798,3,17,3,100,150,30.89,1034.59,0.07602920104270391,-0.7553818982050646,lavender,5_3_17,-0.9999483897605285,-0.573689606649937,3
18995,3,19,3,100,150,30.96,1034.6,0.07779571724046516,-0.7644844282167875,lavender,5_3_19,3.6449731626756168,-0.5922903205930935,3
19194,3,21,3,100,150,31.03,1034.62,0.07669164461686435,-0.7695823252774325,lavender,5_3_21,-0.48384599504552345,-0.6305689409158017,3
19292,3,22,3,100,150,31.06,1034.61,0.07713327366630471,-0.7755453657595799,lavender,5_3_22,-2.54825557390591,-0.6324986979819505,3
19687,3,26,3,100,150,31.18,1034.64,0.07801653176518526,-0.7883269850637742,lavender,5_3_26,-0.48384599504552345,-0.6478193354303964,3
19788,3,27,3,100,150,31.2,1034.63,0.07801653176518526,-0.7902229595644258,lavender,5_3_27,-9.257586705202074,-0.6675661617051677,3
19885,3,28,3,100,150,31.23,1034.65,0.0788997898640658,-0.792085316279468,lavender,5_3_28,-0.48384599504552345,-0.6680001017861801,3
20081,3,30,3,100,150,31.28,1034.66,0.08044549153710681,-0.7890895599353046,lavender,5_3_30,2.096665978530235,-0.6739399757186249,3
20178,3,31,3,100,150,31.3,1034.68,0.08044549153710681,-0.7967767125651406,lavender,5_3_31,3.1288707679602448,-0.6862536636645267,3
20469,3,34,3,100,150,31.37,1034.68,0.08110793511126727,-0.797829155077896,lavender,5_3_34,0.5483587943848532,-0.7122262538074685,3
20860,3,38,3,100,150,31.45,1034.71,0.08154956416070745,-0.8034296037295405,lavender,5_3_38,-2.0321531791909053,-0.6887960420215163,3
20960,3,39,3,100,150,31.47,1034.72,0.0817703786854277,-0.8021006720820782,lavender,5_3_39,0.03225639966984825,-0.7058779656811298,3
17526,3,4,3,100,150,30.12,1034.57,0.08110793511126727,-0.6631295489130878,lavender,5_3_4,0.5483587943848532,-0.45579829699374336,3
21061,3,40,3,100,150,31.48,1034.73,0.08243282225958816,-0.8035942622713016,lavender,5_3_40,1.064461189100225,-0.7072155221661325,3
21256,3,42,3,100,150,31.52,1034.73,0.08309526583374846,-0.8050655549496615,lavender,5_3_42,1.0644611890998583,-0.6638904339601224,3
21455,3,44,3,100,150,31.55,1034.77,0.08331608035846871,-0.8034296037295405,lavender,5_3_44,-2.54825557390591,-0.7379563480227859,3
17627,3,5,3,100,150,30.22,1034.57,0.07845816081462562,-0.6579633871653379,lavender,5_3_5,1.064461189100225,-0.4203862337944281,3
17724,3,6,3,100,150,30.3,1034.58,0.07625001556742417,-0.6589595713429915,lavender,5_3_6,-3.0643579686209153,-0.3847035961916581,3
9733,3,1,3,100,150,28.83,1035.15,0.09630674009394659,-0.8496318485747224,grapefruit,3_3_1,-1.562587895569001,-0.9668097024439087,2
10621,3,10,3,100,150,30.13,1035.36,0.06589024631522218,-0.6838849800036836,grapefruit,3_3_10,-4.375246107593602,-0.7595703033266045,2
10820,3,12,3,100,150,30.28,1035.42,0.06348318565647422,-0.6836506721610843,grapefruit,3_3_12,-1.562587895569001,-0.749583879466656,2
10916,3,13,3,100,150,30.36,1035.45,0.06282671456772475,-0.6857481959680326,grapefruit,3_3_13,-3.2501828227836818,-0.7591904309058963,2
11016,3,14,3,100,150,30.42,1035.48,0.05910671173147785,-0.6841192878462827,grapefruit,3_3_14,9.125513310123445,-0.7740413321532458,2
11215,3,16,3,100,150,30.56,1035.56,0.06173259608647574,-0.6859793797060638,grapefruit,3_3_16,-2.125119537974161,-0.774682894463775,2
11310,3,17,3,100,150,30.62,1035.61,0.061076124997726265,-0.6850521454702845,grapefruit,3_3_17,0.12500703164528032,-0.773205612827688,2
11409,3,18,3,100,150,30.68,1035.63,0.06085730130147633,-0.6880462872882458,grapefruit,3_3_18,-3.812714465188442,-0.7745499391165271,2
11510,3,19,3,100,150,30.74,1035.66,0.06020083021272702,-0.6871309246498248,grapefruit,3_3_19,-1.0000562531642405,-0.776506282083174,2
11700,3,21,3,100,150,30.85,1035.74,0.05954435912397755,-0.6864411223612127,grapefruit,3_3_21,-2.125119537974161,-0.7696685785104281,2
11997,3,24,3,100,150,31.01,1035.88,0.06020083021272702,-0.6852845788501429,grapefruit,3_3_24,-10.563094174047167,-0.7770296618628162,2
9928,3,3,3,100,150,29.39,1035.19,0.07486201786146456,-0.7054931616586411,grapefruit,3_3_3,-0.4375246107590804,-0.7531019201628804,2
12780,3,32,3,100,150,31.36,1036.2,0.054073766717732154,-0.6752199635739073,grapefruit,3_3_32,-0.4375246107594801,-0.794750710288849,2
12978,3,34,3,100,150,31.45,1036.31,0.05341729562898268,-0.6757135720956498,grapefruit,3_3_34,-0.4375246107594801,-0.7715447261882586,2
13268,3,37,3,100,150,31.56,1036.45,0.05166670605898419,-0.6689173950184449,grapefruit,3_3_37,-2.125119537974161,-0.7896161014022779,2
13465,3,39,3,100,150,31.63,1036.52,0.05144788236273427,-0.6665886874734654,grapefruit,3_3_39,-3.812714465188442,-0.7775825872751801,2
10125,3,5,3,100,150,29.65,1035.23,0.06961024915146909,-0.6808096114669545,grapefruit,3_3_5,0.6875386740500408,-0.7687695471147522,2
10225,3,6,3,100,150,29.76,1035.25,0.06764083588522067,-0.6798517610064089,grapefruit,3_3_6,1.8126019588603612,-0.769620039256671,2
10323,3,7,3,100,150,29.87,1035.28,0.06654671740397165,-0.6822367024336122,grapefruit,3_3_7,0.12500703164528032,-0.7531504594166375,2
2718,3,1,3,100,150,29.07,1035.23,0.06414100641832078,-0.4911853238570691,eucalyptus,1_3_1,-0.08861028689476441,-0.8908638046725884,1
3796,3,12,3,100,150,30.24,1035.35,0.020039493453386552,0.31912515614091724,eucalyptus,1_3_12,-3.126677266144786,-0.49392797934924043,1
4090,3,15,3,100,150,30.38,1035.4,0.02223359857602013,0.2105535707456891,eucalyptus,1_3_15,-6.7723576412448985,-0.36389410203868233,1
4192,3,16,3,100,150,30.42,1035.43,0.020478314477913175,0.17893595426463652,eucalyptus,1_3_16,-12.544684901819574,-0.36486583891156094,1
4389,3,18,3,100,150,30.51,1035.47,0.017625977818489666,0.1519605992609706,eucalyptus,1_3_18,-1.9114504744448206,-0.4318008900480577,1
2816,3,2,3,100,150,29.42,1035.23,0.04549111287593561,-0.024096352332474803,eucalyptus,1_3_2,7.202750463305245,-0.6293464535625352,1
4682,3,21,3,100,150,30.63,1035.54,0.015212462183592778,0.11090122502913251,eucalyptus,1_3_21,-1.0000303806697926,-0.46409512343050907,1
4982,3,24,3,100,150,30.73,1035.64,0.011263072962852403,0.07178906952108051,eucalyptus,1_3_24,-6.468550943319961,-0.45019715046291037,1
5082,3,25,3,100,150,30.77,1035.67,0.0130183570609592,0.0587855601411146,eucalyptus,1_3_25,-1.6076437765198832,-0.5041525733688146,1
5178,3,26,3,100,150,30.8,1035.71,0.012360125524169112,0.055370497071628604,eucalyptus,1_3_26,-1.9114504744448206,-0.49789501504456346,1
5378,3,28,3,100,150,30.86,1035.78,0.009068967840218826,0.02560326568998873,eucalyptus,1_3_28,2.3418432965051665,-0.5158988432607536,1
5573,3,30,3,100,150,30.93,1035.85,0.010385430913798847,0.008224985735608276,eucalyptus,1_3_30,-1.0000303806697926,-0.5217025684300889,1
5959,3,34,3,100,150,31.04,1036.01,0.007971915278901958,-0.021909446419645616,eucalyptus,1_3_34,0.8228098068802637,-0.5073721191619234,1
6059,3,35,3,100,150,31.07,1036.04,0.007094273229848559,-0.026274629506498434,eucalyptus,1_3_35,-0.39241698481970183,-0.539989374966403,1
6157,3,36,3,100,150,31.1,1036.12,0.007313683742111871,-0.017503995885033555,eucalyptus,1_3_36,0.5190031089553263,-0.49101009912381105,1
6452,3,39,3,100,150,31.17,1036.27,0.005997220668531849,-0.0291633395088458,eucalyptus,1_3_39,-0.3924169848199177,-0.6126186973936966,1
6548,3,40,3,100,150,31.2,1036.31,0.006436041693058471,-0.04195304791618527,eucalyptus,1_3_40,-1.6076437765196674,-0.6158222255460436,1
6739,3,42,3,100,150,31.25,1036.41,0.004022526058161583,-0.06721224264630264,eucalyptus,1_3_42,3.253263390280195,-0.5531345188182002,1
6837,3,43,3,100,150,31.27,1036.46,0.008630146815692049,-0.06787665553433009,eucalyptus,1_3_43,-7.07616433916962,-0.5764989174759843,1
3110,3,5,3,100,150,29.78,1035.25,0.03166825060334437,0.32984588473243676,eucalyptus,1_3_5,-3.734290661994877,-0.32552918280753346,1
3209,3,6,3,100,150,29.87,1035.28,0.029693555992974106,0.34625774594059544,eucalyptus,1_3_6,-1.30383707859473,-0.2607378259263155,1
3406,3,8,3,100,150,30.01,1035.31,0.026182987796760506,0.3393710536250093,eucalyptus,1_3_8,-1.0000303806697926,-0.2961474904369243,1
3502,3,9,3,100,150,30.07,1035.32,0.02442770369865355,0.3231250559516684,eucalyptus,1_3_9,-0.08861028689476441,-0.31730412427638255,1
17245,3,1,4,200,150,29.5,1034.55,0.1068054548387963,-0.8018664422819466,lavender,5_3_1,15.525617268475376,-0.8873966894569302,3
18225,3,11,4,200,150,30.6,1034.55,0.07351310018711835,-0.6618878604727519,lavender,5_3_11,-50.58346271343606,-0.6838887044336143,3
18322,3,12,4,200,150,30.64,1034.57,0.07351310018711835,-0.6712552589275396,lavender,5_3_12,-34.05619271794939,-0.6926407580492546,3
18419,3,13,4,200,150,30.69,1034.59,0.07263118350760371,-0.6788005813477604,lavender,5_3_13,114.6892372413484,-0.705580785265638,3
18515,3,14,4,200,150,30.74,1034.6,0.07439501686663297,-0.686515719418558,lavender,5_3_14,131.21650723683507,-0.7111146298582067,3
18808,3,17,4,200,150,30.86,1034.59,0.07571789188590498,-0.7064851220039479,lavender,5_3_17,-100.16527269987257,-0.7340460591682434,3
19003,3,19,4,200,150,30.93,1034.6,0.07527693354614776,-0.716265585554733,lavender,5_3_19,65.1074272549119,-0.744044426195492,3
19204,3,21,4,200,150,31.0,1034.62,0.07615885022566238,-0.7250317448142353,lavender,5_3_21,-83.63800270439765,-0.7493504764892921,3
19302,3,22,4,200,150,31.03,1034.61,0.076379329395541,-0.7284647747231923,lavender,5_3_22,-67.11073270891099,-0.7561658688634226,3
19698,3,26,4,200,150,31.15,1034.64,0.07726124607505562,-0.741884800730933,lavender,5_3_26,-67.11073270891099,-0.7702333959183156,3
19798,3,27,4,200,150,31.17,1034.62,0.07682028773529839,-0.743408551973946,lavender,5_3_27,-34.05619271796114,-0.7723617976846883,3
19894,3,28,4,200,150,31.2,1034.64,0.07814316275457024,-0.7465616155400602,lavender,5_3_28,-67.11073270891099,-0.774304604455841,3
